job_duty,job_name
"5年以上C++及游戏客户端研发经验，深度使用过UE进行大项目开发，有开放世界项目经验更佳。对UE有定制化和扩展经验，对游戏研发技术有系统的了解与关注。
有丰富的引擎开发实践经验，了解关键技术原理，有实际的二次开发和维护经验。
在渲染，动画，物理，场景，性能，资源管理等其中某一技术领域有丰富经验。
具备良好的解决问题能力，出色的学习与研究应用能力以及良好的沟通协作能力。",43470-资深UE引擎工程师
"1.具备一定的机房或者服务器IT管理知识
2.具备交换机管理维护经验优先 ，熟悉二三层网络通讯知识
3.熟悉bgp路由发布
4.有CCIE或者华为网络认证为佳

注：此岗位为腾讯集团旗下全资子公司编制岗位",41069-金融专线经理(重庆)(CSIG全资子公司)
"1、本科以上学历，计算机软件或相关专业，2年及以上开发工作经验；
2. 精通HTML5 + CSS3 + JavaScript(ES6+ or Typescript) + Webpack + React 16技术栈，Web需求快速实现能力；
3. 了解NodeJS或其他至少一种服务器端编程语言，可编写简单API/CGI程序，完成前后台功能联调、问题诊断和性能优化；
4. 有商业或开源互联网业务监控告警相关项目架构设计开发经验者优先。
有以下经验或能力优先:
1. 有云计算或ToB相关开发经验
2. 有devops相关开发经验
注:此岗位为腾讯集团旗下全资子公司编制岗位
 通过腾讯云从业资格证或同等资格认证的优先录取",41074-云原生DevOps前端开发工程师（CSIG全资子公司）
"1、本科及以上学历，三年及以上工作经验，精通Linux操作系统，熟悉shell编程，并熟悉TCP/IP、HTTP等协议，有良好的网络、存储、安全、计算机体系结构方面的知识；
2、掌握Python/GO/PHP等任一编程语言，有运维自动化工具平台建设经验优先；
3、有容器、k8s或其他云平台运维经验者优先，熟悉ETCD、Promethus等技术者优先；
4、熟悉AWS/Google Cloud/阿里等云厂商容器服务者优先， 通过腾讯云技术认证或同等资格认证的优先录取；
5、熟悉微服务、Mesh、Serverless、DevOps等云原生技术者优先；
要求有较强的项目协调推动能力，强烈的owner意识，责任心及执行力。 通过腾讯云从业资格证或同等资格认证的优先录取
注：此岗位为腾讯集团旗下全资子公司编制岗位
工作地：重庆/西安",31504-腾讯云容器运维工程师（CSIG全资子公司）
"本科及以上学历，三年以上开发经验；
熟悉C++/C，熟悉linux开发环境；
熟悉数据库，有网络开发经验；
熟悉大规模分布式架构开发，对网络同步有深刻认识；
热爱游戏行业，对技术有极客精神。",48377-资深游戏服务器后台研发（深圳）（NR）
"本科及以上学历，计算机相关专业；
三年以上游戏开发经验； 
熟练掌握C++技术； 
具备优秀的学习能力，团队合作精神和自我驱动力；
熟悉UnrealEngine、Unity引擎的优先；
热爱游戏行业，对技术有极客精神。",48377-资深游戏客户端研发工程师（深圳/上海/杭州）
"1、良好的C++编程基础和工程能力；
2、深入虚幻引擎的整体架构，能够对引擎进行定制化和扩展开发；
3、在渲染，动画，物理，场景，性能，资源管理等其中某一领域具有良好把控能力；
4、对技术有持续的热情，具备良好的解决问题的能力和优秀的自学能力；
5、为人正直有韧性，积极主动，较强的责任心和合作态度；",43454-UE 引擎工程师
"本科及以上学历，计算机相关专业；
三年以上C/C++及游戏客户端研发经验, 至少参与过一款3D游戏引擎的研发维护工作, 对游戏研发相关技术有系统的掌握并保持学习和关注；
扎实的算法和数学基础, 系统全面的软件研发领域知识(计算机系统, OS、数据结构等)； 具备良好的分析解决问题能力, 责任心强, 有较高的自我管理和任务跟进推动能力；
在框架设计、渲染、动画, 网络同步, 物理、游戏AI等其中某一技术领域有丰富的经验； 丰富的Unity3D或UE4引擎实践经验, 了解其关键技术实现原理, 并有实际的二次开发维护经验；
出色的学习和技术研究应用能力, 良好的团队协作能力, 善于沟通, 敬业专注；
热爱游戏行业，对技术有极客精神。",48377-资深游戏引擎研发工程师（深圳/上海/杭州）
"1. 精通C/C++，具备扎实的数据结构和算法基础，熟悉常用设计模式
2. 具备计算机图形学知识，熟练掌握3D图形渲染技术，熟悉OpenGL以及Shader开发
3. 责任心强，善于沟通，对互联网前沿技术应用抱有热情。",CSIG16-腾讯地图渲染引擎高级开发工程师
"本科或以上计算机科学相关专业；3年以上游戏开发经验；
熟悉 C/C++，具备扎实的数学、数据结构和算法基础，熟悉常用设计模式；
熟悉3D游戏性能和内存优化；
熟悉 Unity 或 UE4 的图形渲染管线或有UE4 gameplay开发经验优先；
责任心强，善于沟通。",15612-开放世界UE4游戏客户端开发工程师（深圳）
