area,block,community,region,rent,time,title,toward,type
24.00㎡,武广新城,绿地之窗,雨花,1000元/月,5天前维护,绿地之窗,南,5室0厅4卫
89.00㎡,暮云,幸福庄园,天心,1400元/月,1天前维护,幸福庄园,南 北,2室2厅1卫
20.00㎡,武广新城,天湘華庭,雨花,559元/月,3天前维护,天湘華庭,南,5室1厅2卫
152.00㎡,树木岭,融科东南海,雨花,3200元/月,5天前维护,融科东南海,南,4室2厅2卫
20.00㎡,候家塘,嘉盛奥美城,天心,900元/月,1个月前维护,嘉盛奥美城,东南,5室1厅3卫
20.00㎡,金盆岭,湘银嘉园,天心,769元/月,3天前维护,湘银嘉园,南,5室1厅2卫
95.00㎡,铁道学院,鑫天山水洲城,雨花,2400元/月,11天前维护,鑫天山水洲城,南 北,2室2厅1卫
35.00㎡,泉塘,新长海广场,长沙县,1400元/月,13天前维护,新长海广场,南,1室1厅1卫
146.00㎡,观沙岭,绿地中央广场,岳麓,3900元/月,2天前维护,绿地中央广场,南,4室2厅1卫
20.00㎡,德思勤,润屋美院,天心,700元/月,1个月前维护,润屋美院,南,5室1厅3卫
171.00㎡,铁道学院,天一康园北区,天心,4500元/月,7天前维护,天一康园北区,南 北,4室2厅1卫
18.00㎡,德思勤,润屋美院,天心,750元/月,13天前维护,润屋美院,南,5室1厅3卫
94.00㎡,跳马,丽发新城,雨花,2400元/月,7天前维护,丽发新城,南 北,3室2厅1卫
50.00㎡,福元西路,万国城三期,开福,1700元/月,3天前维护,万国城三期,西,1室1厅1卫
110.00㎡,金星北,润和紫郡,望城,2200元/月,7天前维护,润和紫郡,南 西南,3室2厅2卫
50.00㎡,福元西路,万国城三期,开福,1700元/月,3天前维护,万国城三期,东,1室1厅1卫
94.00㎡,含浦,中海国际社区1期,岳麓,2200元/月,2天前维护,中海国际社区1期,南,3室2厅1卫
81.00㎡,新开铺,和庄,天心,2200元/月,10天前维护,和庄,南,3室2厅1卫
100.00㎡,东塘,兴威名座,雨花,3488元/月,1天前维护,兴威名座,南 北,2室2厅1卫
18.00㎡,德思勤,润屋美院,天心,650元/月,1个月前维护,润屋美院,南,5室1厅3卫
80.00㎡,高桥,上河国际F区,雨花,4000元/月,12天前维护,上河国际F区,南,1室1厅1卫
72.00㎡,雨花亭,云鼎公馆,雨花,2500元/月,8天前维护,云鼎公馆,东,2室1厅1卫
42.00㎡,金星北,长燃新奥佳园,望城,1550元/月,2天前维护,长燃新奥佳园,南,1室1厅1卫
83.00㎡,黄土岭,金碧文华,天心,2400元/月,6天前维护,金碧文华,南,2室2厅1卫
